control_r1	control_r2	control_r3	MI_IZ_r1	MI_IZ_r2	MI_IZ_r3	MI_IZ_r4	MI_remote_r1	MI_remote_r2	MI_remote_r3	MI_remote_r4	Protein_Group	Protein_Ids	Protein_Names	Genes
9.935925484	8.514339447	10.16294479	12.60018253	9.753940582	11.63356781	10.43409538	10.43318939	10.65744305	10.66487408	10.35364819	A0A075B5M7	A0A075B5M7	A0A075B5M7_MOUSE	Igkv5-39
10.41770458	12.90908909	11.53193665	14.75381184	11.03408337	14.13781548	12.14303875	12.32317829	9.821053505	13.10076237	9.751794815	A0A075B5M7;A0A0B4J1J2;A0A0B4J1J1	A0A075B5M7;A0A0B4J1J2;A0A0B4J1J1	A0A075B5M7_MOUSE;A0A0B4J1J1_MOUSE;A0A0B4J1J2_MOUSE	Igkv5-39;Igkv5-43;Igkv5-45
11.76372719	9.095060349	11.98256207	12.12923813	12.45717335	12.41464329	12.09775257	11.87637901	12.16603756	12.16795731	12.47041512	A0A075B5N2;P01657;P01634;A0A140T8P2;P01632	A0A075B5N2;P01657;P01634;A0A140T8P2;P01632	A0A075B5N2_MOUSE;A0A140T8P2_MOUSE;KV1A1_MOUSE;KV3A5_MOUSE;KV5A2_MOUSE	Igkv6-20;Igkv6-29;Igkv7-33
10.37675476	9.799323082	9.741512299	11.77111435	11.16331005	10.92095566	10.09519386	9.8767519	10.07702923	10.25649166	10.89916801	A0A075B5R5	A0A075B5R5	A0A075B5R5_MOUSE	Ighv4-1
9.794704437	9.50253582	10.02354622	11.77473354	10.41793728	12.11749649	11.00028896	10.87007999	10.4106102	9.828196526	9.161541939	A0A075B5U6;P06330;A0A075B5V0;A0A075B5V1;A0A075B5V2;A0A075B5U7;A0A075B5V6;A0A075B5V7	A0A075B5U6;P06330;A0A075B5V0;A0A075B5V1;A0A075B5V2;A0A075B5U7;A0A075B5V6;A0A075B5V7	A0A075B5U6_MOUSE;A0A075B5U7_MOUSE;A0A075B5V0_MOUSE;A0A075B5V1_MOUSE;A0A075B5V2_MOUSE;A0A075B5V6_MOUSE;A0A075B5V7_MOUSE;HVM51_MOUSE	Ighv1-20;Ighv1-22;Ighv1-26;Ighv1-31;Ighv1-34;Ighv1-42;Ighv1-43
12.87033176	13.54827976	13.31049919	13.67042351	13.79835033	14.02620316	14.141469	13.66613483	13.89937592	13.67763138	13.94630337	A0A087WQY2	A0A087WQY2	A0A087WQY2_MOUSE	2410004P03Rik
12.64314556	12.71966457	12.48768902	12.31632423	12.44731617	12.67394066	12.15302658	12.74336624	12.92198944	13.03572559	13.05710125	A0A087WR45	A0A087WR45	A0A087WR45_MOUSE	Prob1
11.74105358	11.80436516	11.79185486	12.43306637	12.42978573	11.37134647	12.04599476	12.10527039	12.25570107	12.10680199	11.90251827	A0A0A6YVU8;Q9JKV1	A0A0A6YVU8;Q9JKV1	A0A0A6YVU8_MOUSE;ADRM1_MOUSE	Adrm1;Gm9774
11.30573082	11.26801586	10.89698315	12.62376308	11.37387657	12.73645306	12.62794399	11.96518517	11.4803915	11.68075943	11.29744911	A0A0A6YVW3;A0A075B5U4;A0A075B5V0;A0A075B5V1;A0A075B5V2;A0A075B5Y4;A0A0A6YXA5;A0A075B5U7	A0A0A6YVW3;A0A075B5U4;A0A075B5V0;A0A075B5V1;A0A075B5V2;A0A075B5Y4;A0A0A6YXA5;A0A075B5U7	A0A075B5U4_MOUSE;A0A075B5U7_MOUSE;A0A075B5V0_MOUSE;A0A075B5V1_MOUSE;A0A075B5V2_MOUSE;A0A075B5Y4_MOUSE;A0A0A6YVW3_MOUSE;A0A0A6YXA5_MOUSE	Ighv1-15;Ighv1-18;Ighv1-22;Ighv1-23;Ighv1-26;Ighv1-31;Ighv1-34;Ighv1-81
10.09845352	11.22216129	10.15342522	12.36531067	11.49302959	12.00785446	11.52645016	11.15211391	11.11568737	11.260355	10.53511047	A0A0A6YXW6	A0A0A6YXW6	A0A0A6YXW6_MOUSE	Igha
9.223669052	9.723337173	9.240263939	10.23224068	10.82670689	10.36533833	10.33254051	9.845961571	9.780364037	9.212640762	9.965986252	A0A0A6YY83	A0A0A6YY83	A0A0A6YY83_MOUSE	Pcdh7
