Protein_Group	Protein_Ids	Protein_Names	Genes	First_Protein_Description	control_r1	control_r2	control_r3	MI_IZ_r1	MI_IZ_r2	MI_IZ_r3	MI_IZ_r4	MI_remote_r1	MI_remote_r2	MI_remote_r3	MI_remote_r4
A0A075B5J9;A0A075B5K3	A0A075B5J9;A0A075B5K3	A0A075B5J9_MOUSE;A0A075B5K3_MOUSE	Igkv17-121;Igkv17-127		1794.76		2923.58	6149.07			2313.1	1738.35			
A0A075B5M7	A0A075B5M7	A0A075B5M7_MOUSE	Igkv5-39		979.516		1146.44	6209.16		3177.26		1382.62	1615.14	1623.48	
A0A075B5M7;A0A0B4J1J2;A0A0B4J1J1	A0A075B5M7;A0A0B4J1J2;A0A0B4J1J1	A0A075B5M7_MOUSE;A0A0B4J1J1_MOUSE;A0A0B4J1J2_MOUSE	Igkv5-39;Igkv5-43;Igkv5-45		1367.86	7691.71	2961.14	27627.4	2096.96	18026.3	4522.92	5124.44		8784.61	
A0A075B5N2;P01657;P01634;A0A140T8P2;P01632	A0A075B5N2;P01657;P01634;A0A140T8P2;P01632	A0A075B5N2_MOUSE;A0A140T8P2_MOUSE;KV1A1_MOUSE;KV3A5_MOUSE;KV5A2_MOUSE	Igkv6-20;Igkv6-29;Igkv7-33		3477.24		4046.79	4479.86	5623.19	5459.84	4383.15	3759.64	4595.6	4601.72	5675.04
A0A075B5P0;P01655;P03977;P01654;P01656	A0A075B5P0;P01655;P03977;P01654;P01656	A0A075B5P0_MOUSE;KV3A1_MOUSE;KV3A2_MOUSE;KV3A3_MOUSE;KV3A4_MOUSE	Igkv3-2							6254.51		2572.74			
A0A075B5R2	A0A075B5R2	A0A075B5R2_MOUSE	Ighv7-3					3441.79			874.198			902.119	
A0A075B5R2;P01786;A0A075B5R3	A0A075B5R2;P01786;A0A075B5R3	A0A075B5R2_MOUSE;A0A075B5R3_MOUSE;HVM17_MOUSE	Ighv7-2;Ighv7-3					3166.78		2452.59					3168.14
A0A075B5R5	A0A075B5R5	A0A075B5R5_MOUSE	Ighv4-1		1329.58		856.027	3495.09	2293.46	1938.81		940.153	1080.16	1223.24	1909.75
A0A075B5U6;P06330;A0A075B5V0;A0A075B5V1;A0A075B5V2;A0A075B5U7;A0A075B5V6;A0A075B5V7	A0A075B5U6;P06330;A0A075B5V0;A0A075B5V1;A0A075B5V2;A0A075B5U7;A0A075B5V6;A0A075B5V7	A0A075B5U6_MOUSE;A0A075B5U7_MOUSE;A0A075B5V0_MOUSE;A0A075B5V1_MOUSE;A0A075B5V2_MOUSE;A0A075B5V6_MOUSE;A0A075B5V7_MOUSE;HVM51_MOUSE	Ighv1-20;Ighv1-22;Ighv1-26;Ighv1-31;Ighv1-34;Ighv1-42;Ighv1-43				1040.85	3503.87	1368.08	4443.55	2048.41	1871.63	1361.15	909.038	
A0A075B680	A0A075B680	A0A075B680_MOUSE	Ighv1-62-2			2277.03		6530.15			1749.8			2960.7	
A0A075B693;A0A075B5X8	A0A075B693;A0A075B5X8	A0A075B5X8_MOUSE;A0A075B693_MOUSE	Ighv8-12;Ighv8-4				1238.48					1232.56			
A0A087WQY2	A0A087WQY2	A0A087WQY2_MOUSE	2410004P03Rik		7487.83	11979.5	10159.2	13037.9	14246.8	16684.3	18072	12999.2	15280.2	13103.2	15785.4
A0A087WR45	A0A087WR45	A0A087WR45_MOUSE	Prob1		6396.85	6745.29	5743.4	5100.15	5584.9	6534.86	4554.34	6857.02	7760.8	8397.39	8522.74
A0A0A6YVU8;Q9JKV1	A0A0A6YVU8;Q9JKV1	A0A0A6YVU8_MOUSE;ADRM1_MOUSE	Adrm1;Gm9774		3423.02	3576.58	3545.7	5530.01	5517.45	2649.21	4228.69	4406.05	4890.28	4410.73	3828.38
A0A0A6YVW3;A0A075B5U4;A0A075B5V0;A0A075B5V1;A0A075B5V2;A0A075B5Y4;A0A0A6YXA5;A0A075B5U7	A0A0A6YVW3;A0A075B5U4;A0A075B5V0;A0A075B5V1;A0A075B5V2;A0A075B5Y4;A0A0A6YXA5;A0A075B5U7	A0A075B5U4_MOUSE;A0A075B5U7_MOUSE;A0A075B5V0_MOUSE;A0A075B5V1_MOUSE;A0A075B5V2_MOUSE;A0A075B5Y4_MOUSE;A0A0A6YVW3_MOUSE;A0A0A6YXA5_MOUSE	Ighv1-15;Ighv1-18;Ighv1-22;Ighv1-23;Ighv1-26;Ighv1-31;Ighv1-34;Ighv1-81		2531.42	2466.1	1906.86	6311.48	2653.86	6824.24	6329.8	3998.34	2857.21	3282.91	2516.93
A0A0A6YXW6	A0A0A6YXW6	A0A0A6YXW6_MOUSE	Igha		1096.32	2388.95	1138.9	5276.3	2882.35	4118.36	2949.9	2275.73	2218.99	2453.04	1483.83
A0A0A6YY83	A0A0A6YY83	A0A0A6YY83_MOUSE	Pcdh7		597.862	845.31	604.779	1202.85	1816.2	1319.1	1289.45	920.301	879.393		1000.14
A0A0A6YYE7;A0A0B4J1I4	A0A0A6YYE7;A0A0B4J1I4	A0A0A6YYE7_MOUSE;A0A0B4J1I4_MOUSE	Igkv4-57;Igkv4-72			1076.08	1188.45	2002.25		1216.52	453.553	721.154		997.147	1062.15
