logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	protein_ids	pval	analysis	label_protein
2.82699444638187	12.8322365632607	13.9257820880457	1.38331076528925e-08	4.71155646657518e-05	10.2148904139004	Lcp1	Q61233	1.38331076528925e-08	MI_IZ_vs_control	
4.93548519554093	16.8113767560222	12.4481861984233	4.69934028454217e-08	5.23097568888691e-05	9.07704599423999	Fga	E9PV24	4.69934028454217e-08	MI_IZ_vs_control	
1.64834114528163	15.4912077943721	12.3636472200639	5.05910030850356e-08	5.23097568888691e-05	9.00741843129021	Flna;Flnb;Flnc	Q8BTM8;Q8VHX6;Q80X90	5.05910030850356e-08	MI_IZ_vs_control	
2.0226325611411	13.5042141553222	12.1435086169083	6.14324801983196e-08	5.23097568888691e-05	8.82364496148548	Ddx21	Q9JIK5	6.14324801983196e-08	MI_IZ_vs_control	
3.31583385541514	16.2402911020956	11.8143082272924	8.2603794517661e-08	5.62697048254307e-05	8.54201108386826	Fn1	P11276	8.2603794517661e-08	MI_IZ_vs_control	
3.31745495340592	12.3034838808067	11.3442648096831	1.27659972766702e-07	5.72347921306439e-05	8.1251320580114	Coro1a	O89053	1.27659972766702e-07	MI_IZ_vs_control	
2.44721827584708	12.1882505686899	11.000135850458	1.77307848974789e-07	5.72347921306439e-05	7.80839884422283	G6pdx	Q00612	1.77307848974789e-07	MI_IZ_vs_control	
2.02955536639607	13.6785240950302	11.3107087106456	1.3176641809492e-07	5.72347921306439e-05	8.09468494823625	Prex2	Q3LAC4	1.3176641809492e-07	MI_IZ_vs_control	
-2.53849531498706	13.3677292760164	-11.8892929120688	1.87430107145187e-07	5.72347921306439e-05	7.76997953148691	Col14a1	Q80X19	1.87430107145187e-07	MI_IZ_vs_control	
5.11218522709431	16.4182863031551	10.9670713199594	1.83076785872057e-07	5.72347921306439e-05	7.77743537028206	Fgb	Q8K0E8	1.83076785872057e-07	MI_IZ_vs_control	
4.86571634002297	16.4710976311652	10.8677934888548	2.01649296995809e-07	5.72347921306439e-05	7.68389540039932	Fgg	Q8VCM7	2.01649296995809e-07	MI_IZ_vs_control	
2.01109483984462	12.5637398134545	11.2336259271431	1.41749506588883e-07	5.72347921306439e-05	8.0243892357209	Lcp1;Pls3	Q99K51;Q61233	1.41749506588883e-07	MI_IZ_vs_control	
1.37473578550842	15.3684519401436	10.6855036271464	2.41261794159039e-07	6.32105900696683e-05	7.50988257433843	Ncl	P09405	2.41261794159039e-07	MI_IZ_vs_control	
3.10581619594569	12.5789737615868	10.071242115986	4.50098212419695e-07	8.77866665649514e-05	6.90116055843467	S100a4	P07091	4.50098212419695e-07	MI_IZ_vs_control	
1.4256292650782	12.6301029532773	9.94152836531673	5.15482481297425e-07	8.77866665649514e-05	6.7680347505994	Itga5	P11688	5.15482481297425e-07	MI_IZ_vs_control	
1.58498311042209	13.1397085516005	9.98871695960872	4.90583223300309e-07	8.77866665649514e-05	6.81665492830457	Capg	P24452	4.90583223300309e-07	MI_IZ_vs_control	
2.50838099502638	13.4155791196628	10.0329617524715	4.68411205601125e-07	8.77866665649514e-05	6.86204398156577	Xirp2	Q4U4S6	4.68411205601125e-07	MI_IZ_vs_control	
1.26397806046273	14.5421976846645	10.0279093841781	4.70887567249454e-07	8.77866665649514e-05	6.85687060617573	Npm1	Q61937	4.70887567249454e-07	MI_IZ_vs_control	
1.63783846593383	12.5951893374338	10.0351010423429	4.67366888121246e-07	8.77866665649514e-05	6.86423375975127	Mybbp1a	Q7TPV4	4.67366888121246e-07	MI_IZ_vs_control	
2.04673690255929	14.6118288089097	10.0150663685487	4.77246149993926e-07	8.77866665649514e-05	6.84370879620196	Nrap	Q80XB4	4.77246149993926e-07	MI_IZ_vs_control	
2.77512441493024	13.0683339426533	9.80820793349737	5.93483014753753e-07	9.2582178228062e-05	6.62948064027403	Hmgb2	P30681	5.93483014753753e-07	MI_IZ_vs_control	
1.58087788487799	18.458690724773	9.8010656768696	5.9800584880134e-07	9.2582178228062e-05	6.62200804585499	Actb;Actg1	P60710;P63260	5.9800584880134e-07	MI_IZ_vs_control	
1.94062911762721	12.8366880226424	9.75262001771324	6.29681262141e-07	9.32475816892281e-05	6.57118655077971	Apob	E9Q414	6.29681262141e-07	MI_IZ_vs_control	
2.71042004374298	13.885147015312	9.62163517392913	7.24727884548224e-07	0.000102850965615469	6.43258916632593	Hspa1a;Hspa1b	Q61696;P17879	7.24727884548224e-07	MI_IZ_vs_control	
1.79683870879775	13.2839111308868	9.51852938220516	8.10403401448851e-07	0.000110409359413391	6.3222557047828	Flna;Flnc	Q8BTM8;Q8VHX6	8.10403401448851e-07	MI_IZ_vs_control	
2.85309165101971	12.5210916951314	12.1488166161962	1.06783472215148e-06	0.000139886348601844	6.16555175674644	Chil3	O35744	1.06783472215148e-06	MI_IZ_vs_control	
1.65322511170232	13.283645309493	9.0462304476637	1.36905476422221e-06	0.000166535733105031	5.80252278483047	Rbm3	O89086	1.36905476422221e-06	MI_IZ_vs_control	
1.37720491140395	11.8165515896679	9.05957441182342	1.34853217224345e-06	0.000166535733105031	5.81753734571395	Cyria;Cyrib	Q921M7;Q8BHZ0	1.34853217224345e-06	MI_IZ_vs_control	
1.4043994610949	15.7267358913358	8.82401331551184	1.76508594818265e-06	0.000200545876712735	5.54957923108215	Msn	P26041	1.76508594818265e-06	MI_IZ_vs_control	
1.89530635685381	12.8888703975705	8.82336606829372	1.76640525583736e-06	0.000200545876712735	5.54883440210188	Lmcd1	Q8VEE1	1.76640525583736e-06	MI_IZ_vs_control	
1.34596611314644	12.4315125960544	8.73170607369345	1.96438720984008e-06	0.00021582912376501	5.4428749975554	Rsl1d1	Q8BVY0	1.96438720984008e-06	MI_IZ_vs_control	
0.975125306173419	11.2501749691573	8.67910846537212	2.08866122116199e-06	0.000222311878727429	5.38163859131782	Cacybp	Q9CXW3	2.08866122116199e-06	MI_IZ_vs_control	
4.5985105445467	12.8765991029044	9.01649312112738	2.73562692733814e-06	0.000254622098573545	5.19488336922488	Ltf	P08071	2.73562692733814e-06	MI_IZ_vs_control	
2.09335651720115	14.3218762117278	8.43141821102768	2.79886402312036e-06	0.000254622098573545	5.08895173636077	Anxa1	P10107	2.79886402312036e-06	MI_IZ_vs_control	
1.07586930737301	12.3129452700337	8.41898606800411	2.84076328414407e-06	0.000254622098573545	5.07407113721915	Fbln1	Q08879	2.84076328414407e-06	MI_IZ_vs_control	
-1.87390935435075	13.5591118720823	-8.48996700997506	2.61026861873162e-06	0.000254622098573545	5.15878549556358	Col6a5;Col6a6	Q8C6K9;A6H584	2.61026861873162e-06	MI_IZ_vs_control	
1.92404767286603	14.7180665449332	8.46211331387157	2.69822950394944e-06	0.000254622098573545	5.12561366850598	Flnb;Flnc	Q8VHX6;Q80X90	2.69822950394944e-06	MI_IZ_vs_control	
1.47651159251053	12.6179690471792	8.45297516410684	2.72777663950235e-06	0.000254622098573545	5.1147108076646	Arpc5	Q9CPW4	2.72777663950235e-06	MI_IZ_vs_control	
1.20559877030114	14.3740323395524	8.35304800094821	3.07454318235818e-06	0.000255412050710048	4.99483935072567	Crip1	P63254	3.07454318235818e-06	MI_IZ_vs_control	
1.77810086943034	13.3543459520988	8.35647981058641	3.06187961256709e-06	0.000255412050710048	4.99897584710479	Itih2	Q61703	3.06187961256709e-06	MI_IZ_vs_control	
1.58233972834232	11.6462188237468	8.3882647634444	2.94721730628368e-06	0.000255412050710048	5.03722062572297	Tubb3;Tubb6	Q922F4;Q9ERD7	2.94721730628368e-06	MI_IZ_vs_control	
1.28460442455437	12.9874073697844	8.33099387805183	3.1572777774277e-06	0.000256040193093303	4.96822297944991	Impdh2	P24547	3.1572777774277e-06	MI_IZ_vs_control	
2.07898657860591	13.0950958606488	8.17477956112156	3.81633976197514e-06	0.000302289609983426	4.77801358112343	Hspa1a;Hspa1b;Hspa1l	Q61696;P17879;P16627	3.81633976197514e-06	MI_IZ_vs_control	
1.83569869932948	14.3068212029401	8.08690991211949	4.25074956925093e-06	0.000329046659837924	4.66971489863178	Tkt	P40142	4.25074956925093e-06	MI_IZ_vs_control	
