n_nuclei	Area_um2	sample	w_cont	wo_cont	group	missingness	missing_prot
207	43055	control_r1	3403	3292	control	0.102903058579575	397
201	34655	control_r2	3368	3273	control	0.115344738206325	445
220	35634	control_r3	3439	3331	control	0.0933125972006221	360
223	43647	MI_IZ_r1	3576	3466	MI_IZ	0.0445826853291861	172
176	37099	MI_IZ_r2	3508	3401	MI_IZ	0.0782789009849663	302
227	36815	MI_IZ_r3	3187	3076	MI_IZ	0.162778641783307	628
270	44048	MI_IZ_r4	3170	3057	MI_IZ	0.16822187662001	649
80	15724	MI_remote_r1	3509	3396	MI_remote	0.0759460860549507	293
145	25241	MI_remote_r2	3511	3395	MI_remote	0.0655780196993261	253
162	28807	MI_remote_r3	3365	3272	MI_remote	0.107309486780715	414
163	28543	MI_remote_r4	3157	3054	MI_remote	0.177293934681182	684
