sample,nuclear_image,spot_table,membrane_image
sample_control_r1_s1,/images/sample_control_r1_s1.DAPI.tiff,/spots/sample_control_r1_s1.spots.tsv,/images/sample_control_r1_s1.WGA.tiff
sample_control_r2_s1,/images/sample_control_r2_s1.DAPI.tiff,/spots/sample_control_r2_s1.spots.tsv,/images/sample_control_r2_s1.WGA.tiff
sample_control_r1_s2,/images/sample_control_r1_s2.DAPI.tiff,/spots/sample_control_r1_s2.spots.tsv,/images/sample_control_r1_s2.WGA.tiff
sample_control_r2_s2,/images/sample_control_r2_s2.DAPI.tiff,/spots/sample_control_r2_s2.spots.tsv,/images/sample_control_r2_s2.WGA.tiff
sample_4h_r1_s1,/images/sample_4h_r1_s1.DAPI.tiff,/spots/sample_4h_r1_s1.spots.tsv,/images/sample_4h_r1_s1.WGA.tiff
sample_4h_r2_s1,/images/sample_4h_r2_s1.DAPI.tiff,/spots/sample_4h_r2_s1.spots.tsv,/images/sample_4h_r2_s1.WGA.tiff
sample_4h_r1_s2,/images/sample_4h_r1_s2.DAPI.tiff,/spots/sample_4h_r1_s2.spots.tsv,/images/sample_4h_r1_s2.WGA.tiff
sample_4h_r2_s2,/images/sample_4h_r2_s2.DAPI.tiff,/spots/sample_4h_r2_s2.spots.tsv,/images/sample_4h_r2_s2.WGA.tiff
sample_2d_r1_s1,/images/sample_2d_r1_s1.DAPI.tiff,/spots/sample_2d_r1_s1.spots.tsv,/images/sample_2d_r1_s1.WGA.tiff
sample_2d_r2_s1,/images/sample_2d_r2_s1.DAPI.tiff,/spots/sample_2d_r2_s1.spots.tsv,/images/sample_2d_r2_s1.WGA.tiff
sample_2d_r1_s2,/images/sample_2d_r1_s2.DAPI.tiff,/spots/sample_2d_r1_s2.spots.tsv,/images/sample_2d_r1_s2.WGA.tiff
sample_2d_r2_s2,/images/sample_2d_r2_s2.DAPI.tiff,/spots/sample_2d_r2_s2.spots.tsv,/images/sample_2d_r2_s2.WGA.tiff
sample_4d_r1_s1,/images/sample_4d_r1_s1.DAPI.tiff,/spots/sample_4d_r1_s1.spots.tsv,/images/sample_4d_r1_s1.WGA.tiff
sample_4d_r2_s1,/images/sample_4d_r2_s1.DAPI.tiff,/spots/sample_4d_r2_s1.spots.tsv,/images/sample_4d_r2_s1.WGA.tiff
sample_4d_r1_s2,/images/sample_4d_r1_s2.DAPI.tiff,/spots/sample_4d_r1_s2.spots.tsv,/images/sample_4d_r1_s2.WGA.tiff
sample_4d_r2_s2,/images/sample_4d_r2_s2.DAPI.tiff,/spots/sample_4d_r2_s2.spots.tsv,/images/sample_4d_r2_s2.WGA.tiff
