gene	hex_color
Ctnnb1	#ffffff
Trem2	#0080ff
Nppa	#ff8000
C3	#bc088b
Dcn	#0ed68a
Dkk3	#008000
Mmrn1	#e54afa
Csf1r	#0808af
Mt1	#f8dc11
Nppb	#00ffff
Cd36	#f59ee2
Mmp14	#16e715
Cd19	#d47168
Mki67	#eb040a
Nfatc1	#8000ff
Frzb	#5e0a37
Cdh5	#2d80a0
Msln	#02affd
Aqp1	#95fd95
Lyz2	#fa25ba
Fn1	#689e16
C1qa	#016f5b
Flt1	#a44a41
C1qb	#930d04
Vegfa	#50bdd6
Postn	#c7d10e
Wif1	#e2a292
Cxcl5	#12a25f
Plp1	#44fb33
Lyve1	#0651a7
Tnf	#02065c
Ccr2	#c218c9
Runx1	#a850f3
Maf	#f5954c
Ccl2	#b1e3fd
Kdr	#868d99
Ccl9	#79248d
Arg1	#ff0080
Cd86	#0df7b7
Pln	#4ec352
Itgb2	#362505
Ryr2	#f94d36
Siglech	#0a4258
Sell	#1f5de8
Ccl5	#534c2c
Ighm	#916100
Ptprc	#199acf
Col1a1	#ffff00
Klrd1	#bb99bd
Cx3cr1	#95005d
Colec11	#f5c4a9
Smad3	#9d5f82
S100b	#fd65f1
Pdgfra	#eadfdf
Upk3b	#9fb70c
Il1b	#8ecbff
Acta2	#70df95
Scn7a	#22843b
Gzmb	#f966a0
Tagln	#0000ff
Npr3	#976fc1
Il1rl1	#b0cf59
Myh11	#c87a13
Lef1	#7d8848
Chil3	#00d9f8
Cxcr6	#08b8b0
Pdgfrb	#ee0f4a
Ms4a7	#ffff80
Lmod1	#635b86
Tcf4	#bb1325
Tcf21	#7c46b1
Reln	#8393f2
Cd68	#077ebe
Flt4	#8bd9d1
Nrp1	#11b682
Tgfb1	#be9139
Ccl22	#320422
Pecam1	#046188
Ly6g	#bda368
Bcl2	#abfa2f
Lrp1	#e201fd
Cxcl2	#7ceb02
Cd3e	#0e8fed
Csf3r	#6d046c
Il6	#135301
Cd4	#ed15dc
Cd80	#77ad7d
Mybpc3	#b9612a
Vim	#02b635
Top2a	#f5c144
Cd74	#21c601
Mrc1	#7e5761
Il33	#c492fe
H2-DMb2	#c707e6
Car3	#373f7e
Clu	#c0bab6
Hif1a	#ca0264
H2-Eb1	#a26efe
Cfd	#fcb47b
Cd79a	#c84967
