timepoint,fov,region_name,final_cell_type,count,total_count,percentage,area_px,area_um,count_per_um2,count_per_mm2
24h,24h_83,border_zone,Cardiomyocytes,2469,10052,0.24562276163947472,46147947,2441226.3963,0.0010113769061903042,1011.3769061903042
24h,24h_83,border_zone,Cardiomyocytes Ankrd1+,3870,10052,0.38499801034619974,46147947,2441226.3963,0.001585268783700477,1585.2687837004771
24h,24h_83,border_zone,Endocardial cells,53,10052,0.00527258257063271,46147947,2441226.3963,2.1710399363339867e-05,21.710399363339867
24h,24h_83,border_zone,Endothelial cells,1132,10052,0.11261440509351373,46147947,2441226.3963,0.0004637013599868062,463.7013599868062
24h,24h_83,border_zone,Fibroblasts,561,10052,0.05580978909669718,46147947,2441226.3963,0.00022980252911006916,229.80252911006917
24h,24h_83,border_zone,Macrophages Trem2+,31,10052,0.0030839633903700756,46147947,2441226.3963,1.2698535476670488e-05,12.698535476670488
24h,24h_83,border_zone,Macrophages Trem2-,9,10052,0.0008953442101074413,46147947,2441226.3963,3.6866715900011095e-06,3.6866715900011093
24h,24h_83,border_zone,Mono / Macros Ccr2+,1005,10052,0.09998010346199761,46147947,2441226.3963,0.00041167832755012386,411.67832755012387
24h,24h_83,border_zone,Neutrophils,604,10052,0.0600875447672105,46147947,2441226.3963,0.0002474166267067411,247.4166267067411
24h,24h_83,border_zone,Other Leukocytes,43,10052,0.004277755670513331,46147947,2441226.3963,1.7614097596671966e-05,17.614097596671968
24h,24h_83,border_zone,Smooth muscle cells,275,10052,0.027357739753282928,46147947,2441226.3963,0.00011264829858336723,112.64829858336722
24h,24h_83,endocardial_region,Cardiomyocytes,1216,2948,0.412483039348711,9242450,488925.60500000004,0.002487085944292077,2487.085944292077
24h,24h_83,endocardial_region,Cardiomyocytes Ankrd1+,149,2948,0.0505427408412483,9242450,488925.60500000004,0.0003047498402134206,304.7498402134206
24h,24h_83,endocardial_region,Endocardial cells,295,2948,0.10006784260515604,9242450,488925.60500000004,0.0006033637776037522,603.3637776037522
24h,24h_83,endocardial_region,Endothelial cells,222,2948,0.07530529172320218,9242450,488925.60500000004,0.00045405680890858637,454.0568089085864
24h,24h_83,endocardial_region,Fibroblasts,101,2948,0.03426051560379918,9242450,488925.60500000004,0.0002065753950439965,206.5753950439965
