final_cell_type,region_name,timepoint,mean_count,se_count
Cardiomyocytes,All,Control,2766.182822745041,211.76770709274467
Cardiomyocytes,All,4h,2398.677543351754,166.17041719996584
Cardiomyocytes,All,24h,1881.700507983594,295.12850372512924
Cardiomyocytes,All,48h,1391.945677457304,113.75149259181477
Cardiomyocytes,"Near-Infarct
Endocardial Region",Control,3543.7502762411677,298.6926302628546
Cardiomyocytes,"Near-Infarct
Endocardial Region",4h,3166.182766758962,172.23992632429005
Cardiomyocytes,"Near-Infarct
Endocardial Region",24h,2652.6773902843315,165.59144599225462
Cardiomyocytes,"Near-Infarct
Endocardial Region",48h,2319.0010457457647,387.3989656361293
Cardiomyocytes,"Remote
Endocardial Region",Control,3543.7502762411677,298.6926302628546
Cardiomyocytes,"Remote
Endocardial Region",4h,5290.592783948997,88.44820269118645
Cardiomyocytes,"Remote
Endocardial Region",24h,4069.7549058952945,332.4852191611578
Cardiomyocytes,"Remote
Endocardial Region",48h,3569.539808836306,744.9379150062673
Cardiomyocytes,Infarct Core,Control,2531.4555419607273,158.0403238177466
Cardiomyocytes,Infarct Core,4h,1524.4106961830544,575.0573323010161
Cardiomyocytes,Infarct Core,24h,484.1210698325119,375.9244835900313
Cardiomyocytes,Infarct Core,48h,62.764353757944576,19.466878427433787
Cardiomyocytes,Border zone,Control,2488.3449331382276,180.4353398397135
Cardiomyocytes,Border zone,4h,1801.7247704163342,253.92765866656111
Cardiomyocytes,Border zone,24h,1161.485419993659,150.1085138033546
Cardiomyocytes,Border zone,48h,604.5999432603792,48.47870428281254
Cardiomyocytes,"Near-Infarct
Epicardial Region",Control,3497.227287429357,96.13461425345379
Cardiomyocytes,"Near-Infarct
Epicardial Region",4h,3116.51900434212,864.5605666149992
Cardiomyocytes,"Near-Infarct
Epicardial Region",24h,2445.5858974413604,392.68077505614156
Cardiomyocytes,"Near-Infarct
Epicardial Region",48h,393.88224055416015,20.294241206273597
Cardiomyocytes Ankrd1+,All,Control,20.542948541971388,17.272677326547985
Cardiomyocytes Ankrd1+,All,4h,743.8995676672047,370.6435972612261
Cardiomyocytes Ankrd1+,All,24h,817.095944154433,210.0820333409424
Cardiomyocytes Ankrd1+,All,48h,743.3669591004123,53.509437644004144
Cardiomyocytes Ankrd1+,"Near-Infarct
Endocardial Region",Control,21.25952057529774,16.02930331535508
Cardiomyocytes Ankrd1+,"Near-Infarct
Endocardial Region",4h,238.44231759588422,177.16278577412191
Cardiomyocytes Ankrd1+,"Near-Infarct
Endocardial Region",24h,190.56284471750416,114.18699549591645
Cardiomyocytes Ankrd1+,"Near-Infarct
Endocardial Region",48h,143.70193085495117,20.23477705103265
Cardiomyocytes Ankrd1+,"Remote
Endocardial Region",Control,21.25952057529774,16.02930331535508
Cardiomyocytes Ankrd1+,"Remote
Endocardial Region",4h,21.63575049334648,4.560877688342724
Cardiomyocytes Ankrd1+,"Remote
Endocardial Region",24h,25.91237454414174,2.984040559472715
Cardiomyocytes Ankrd1+,"Remote
Endocardial Region",48h,0.0,0.0
Cardiomyocytes Ankrd1+,Infarct Core,Control,10.436803916124875,7.9748687689206
Cardiomyocytes Ankrd1+,Infarct Core,4h,1556.4470785627632,637.5263087371828
Cardiomyocytes Ankrd1+,Infarct Core,24h,2559.9310089731816,371.8100618186049
Cardiomyocytes Ankrd1+,Infarct Core,48h,2214.8483666606508,474.52772760284796
Cardiomyocytes Ankrd1+,Border zone,Control,10.67076592936323,8.798135132615164
Cardiomyocytes Ankrd1+,Border zone,4h,1267.238578406937,571.748676505978
Cardiomyocytes Ankrd1+,Border zone,24h,1488.217498642845,97.05128505763217
Cardiomyocytes Ankrd1+,Border zone,48h,1468.7229644605545,67.66361260019926
Cardiomyocytes Ankrd1+,"Near-Infarct
Epicardial Region",Control,59.488206786825394,35.3526344852786
Cardiomyocytes Ankrd1+,"Near-Infarct
Epicardial Region",4h,1156.8442762918296,935.173931483081
Cardiomyocytes Ankrd1+,"Near-Infarct
Epicardial Region",24h,1737.36959376351,469.2078890305836
