"cellID","X_centroid","Y_centroid","anno_cell_type_lvl2"
"sample_2d_r2_s1-cell_1",8515.45468303346,25345.6239102106,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_2",8436.66901408451,25329.4043543902,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_5",8467.23137697517,25283.4602371937,"Endothelial cells"
"sample_2d_r2_s1-cell_7",8391.33784064905,25224.6190105402,"Myeloid cells"
"sample_2d_r2_s1-cell_8",8440.7372488408,25230.2968821011,"Endothelial cells"
"sample_2d_r2_s1-cell_10",8328.61666172547,25162.1344379073,"Myeloid cells"
"sample_2d_r2_s1-cell_11",8352.09399075501,25119.7062091759,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_12",8419.81747572816,25131.6894968203,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_13",8227.34461877236,25092.4177650345,"Myeloid cells"
"sample_2d_r2_s1-cell_19",8291.89416732647,25009.4633172753,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_20",8151.60507968128,25045.7865324641,"Myeloid cells"
"sample_2d_r2_s1-cell_24",8056.6868982838,24971.6337034287,"Myeloid cells"
"sample_2d_r2_s1-cell_25",8397.56892208026,24942.0173154685,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_26",8184.65092460882,24919.7510190413,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_28",8298.61418666667,24914.9548245226,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_31",8052.81610974323,24887.9598058146,"Cardiomyocytes"
"sample_2d_r2_s1-cell_34",8221.46297531688,24857.6384166773,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_36",8135.14059753954,24856.9761833509,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_38",7986.86981903094,24839.3187893095,"Endothelial cells"
"sample_2d_r2_s1-cell_39",8539.38240653014,24758.9459190414,"Endothelial cells"
"sample_2d_r2_s1-cell_41",8094.12341407151,24810.7887427694,"Endothelial cells"
"sample_2d_r2_s1-cell_46",8359.33727810651,24775.6168117415,"Endothelial cells"
"sample_2d_r2_s1-cell_47",8453.94382225434,24716.9540513337,"Myeloid cells"
"sample_2d_r2_s1-cell_48",7889.8377497828,24737.317190025,"Myeloid cells"
"sample_2d_r2_s1-cell_49",8389.82195608782,24746.7991665585,"Myeloid cells"
"sample_2d_r2_s1-cell_51",7959.0040257649,24697.3479542488,"Myeloid cells"
"sample_2d_r2_s1-cell_58",7881.55285665412,24661.0416955272,"Pericytes"
"sample_2d_r2_s1-cell_59",7803.24519005162,24585.7176442441,"Myeloid cells"
"sample_2d_r2_s1-cell_60",7765.14430636571,24623.3456414504,"Endothelial cells"
"sample_2d_r2_s1-cell_61",8425.27182478129,24594.2686648022,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_66",7880.66717944077,24530.9964856114,"Myeloid cells"
"sample_2d_r2_s1-cell_68",8063.19793291732,24556.9009814544,"Endothelial cells"
"sample_2d_r2_s1-cell_69",8234.51618323957,24540.0863171058,"Myeloid cells"
"sample_2d_r2_s1-cell_70",8133.47831800263,24575.0389799672,"Endothelial cells"
"sample_2d_r2_s1-cell_71",7689.31062482796,24536.098332059,"Myeloid cells"
"sample_2d_r2_s1-cell_73",7966.73967070519,24527.2718558491,"Endothelial cells"
"sample_2d_r2_s1-cell_78",7569.7552,24514.3093845226,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_80",7574.53815509915,24459.716146515,"Myeloid cells"
"sample_2d_r2_s1-cell_82",7799.85674288381,24475.2494316839,"Endothelial cells"
"sample_2d_r2_s1-cell_87",7656.39544978297,24410.1467179756,"Myeloid cells"
"sample_2d_r2_s1-cell_88",8164.90178041543,24401.8407532664,"Myeloid cells"
"sample_2d_r2_s1-cell_89",7482.74612333213,24432.5223037677,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_91",8390.10395205828,24386.3538587487,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_94",7429.52810158201,24381.1260851609,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_96",7572.10106085985,24392.1829818425,"Myeloid cells"
"sample_2d_r2_s1-cell_97",7385.73703041145,24376.1594451069,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_98",7504.77683315622,24351.4421505162,"Myeloid cells"
"sample_2d_r2_s1-cell_99",7970.59820254274,24326.3026059751,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_100",7665.5483779169,24290.4227589866,"Endothelial cells"
"sample_2d_r2_s1-cell_101",7396.51347888752,24245.4055246532,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_102",8181.85666151346,24278.3858756471,"Myeloid cells"
"sample_2d_r2_s1-cell_103",7317.170417327,24296.3935125733,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_104",7841.56301788051,24311.7260036823,"Myeloid cells"
"sample_2d_r2_s1-cell_105",7552.82657396678,24296.9106943719,"Myeloid cells"
"sample_2d_r2_s1-cell_107",8397.84549258273,24237.0469995346,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_109",7870.87368421053,24239.540009084,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_110",7773.74316412976,24212.5324417946,"Endothelial cells"
"sample_2d_r2_s1-cell_112",7521.26402993052,24198.0861937868,"Endothelial cells"
"sample_2d_r2_s1-cell_113",7264.79296307066,24202.8446092584,"Endothelial cells"
"sample_2d_r2_s1-cell_118",7630.91229258381,24157.3389484914,"Myeloid cells"
"sample_2d_r2_s1-cell_119",7858.346875,24176.2814605642,"Myeloid cells"
"sample_2d_r2_s1-cell_123",7689.0980574619,24113.7624810601,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_125",8265.13785557987,24137.6426279945,"Endothelial cells"
"sample_2d_r2_s1-cell_127",7797.24242424242,24114.4872883037,"Myeloid cells"
"sample_2d_r2_s1-cell_128",7391.41184387618,24064.3386367433,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_129",7996.5052891933,24027.7485178559,"Myeloid cells"
"sample_2d_r2_s1-cell_130",7504.24117647059,24101.0234546048,"Endothelial cells"
"sample_2d_r2_s1-cell_131",8160.38055441116,24059.7070130396,"Myeloid cells"
"sample_2d_r2_s1-cell_134",7586.2720754993,24035.9288315828,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_135",7755.4379380511,24016.330767837,"Myeloid cells"
"sample_2d_r2_s1-cell_136",7178.11164179104,24057.0270999454,"Myeloid cells"
"sample_2d_r2_s1-cell_138",7894.22290076336,24020.2088686374,"Myeloid cells"
"sample_2d_r2_s1-cell_140",7231.03205928237,24011.1744798944,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_143",7525.1444082519,23974.2479168011,"Myeloid cells"
"sample_2d_r2_s1-cell_146",7113.50230801511,23978.1110685623,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_149",7271.49594283638,23951.5288507048,"Endothelial cells"
"sample_2d_r2_s1-cell_151",7905.32942430704,23983.5277467116,"Myeloid cells"
"sample_2d_r2_s1-cell_154",7642.21142339075,23935.2511394938,"Myeloid cells"
"sample_2d_r2_s1-cell_159",7181.53919603914,23905.8242330117,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_161",7077.33740388964,23921.9251913068,"Myeloid cells"
